c1,c2,c3,c4,c5
2,50,12500,98,1
0,13,3250,28,1
1,16,4000,35,1
2,20,5000,45,1
1,24,6000,77,0
1,12,3000,35,0
5,46,11500,98,1
4,23,5750,58,0
2,10,2500,28,1
1,13,3250,47,0
2,14,3500,48,1
2,15,3750,49,1
4,11,2750,28,0
4,14,3500,40,0
4,12,3000,34,1
1,14,3500,58,0
4,10,2500,28,1
4,10,2500,28,1
2,16,4000,64,0
2,12,3000,47,1
2,14,3500,57,1
2,13,3250,53,1
4,20,5000,69,1
2,9,2250,36,0
2,11,2750,46,0
2,11,2750,46,1
2,12,3000,52,0
4,19,4750,69,1
2,16,4000,81,0
2,10,2500,49,0
3,16,4000,74,0
1,9,2250,51,0
4,17,4250,71,1
12,11,2750,23,0
3,17,4250,86,0
4,9,2250,38,1
2,13,3250,76,1
4,9,2250,40,0
6,17,4250,70,0
0,8,2000,59,0
2,10,2500,64,0
4,9,2250,46,0
2,12,3000,82,0
11,24,6000,64,0
4,11,2750,61,0
1,7,1750,57,0
2,11,2750,79,1
4,8,2000,46,1
4,8,2000,48,1
2,12,3000,95,0
2,11,2750,88,0
2,12,3000,98,0
2,9,2250,74,0
5,14,3500,86,0
2,7,1750,58,1
4,11,2750,78,0
11,10,2500,35,0
4,12,3000,88,0
8,15,3750,77,0
4,7,1750,52,0
4,7,1750,52,0
11,11,2750,42,0
9,9,2250,45,0
4,7,1750,58,0
4,7,1750,58,0
11,9,2250,38,0
2,7,1750,76,0
8,10,2500,63,0
8,9,2250,58,0
8,8,2000,52,1
11,22,5500,98,0
11,17,4250,79,1
11,12,3000,58,0
7,12,3000,86,0
2,6,1500,75,0
12,13,3250,59,0
12,12,3000,58,0
11,14,3500,73,1
4,7,1750,82,0
16,11,2750,40,0
14,13,3250,57,0
14,18,4500,78,0
11,8,2000,48,0
14,16,4000,70,0
16,12,3000,50,0
4,5,1250,74,0
12,9,2250,60,0
11,9,2250,72,1
15,16,4000,82,0
14,8,2000,50,1
14,16,4000,98,0
11,7,1750,62,1
11,7,1750,64,0
23,38,9500,98,0
21,16,4000,64,0
21,13,3250,57,0
11,6,1500,71,0
23,15,3750,57,0
14,7,1750,72,0
14,7,1750,73,0
16,10,2500,89,0
16,8,2000,76,0
16,7,1750,87,1
16,7,1750,93,0
23,14,3500,93,0
18,8,2000,95,0
23,12,3000,86,0
23,8,2000,64,0
21,6,1500,86,0
2,43,10750,86,1
6,22,5500,28,1
2,34,8500,77,1
2,44,11000,98,0
0,26,6500,76,1
2,41,10250,98,1
3,21,5250,42,1
2,11,2750,23,0
2,21,5250,52,1
2,13,3250,32,1
2,11,2750,26,0
2,11,2750,28,0
3,14,3500,35,0
4,16,4000,38,1
4,33,8250,98,1
3,10,2500,33,1
4,10,2500,28,1
2,11,2750,40,1
2,11,2750,41,1
4,13,3250,39,1
1,10,2500,43,1
2,15,3750,64,0
5,24,6000,79,0
2,10,2500,52,0
4,16,4000,70,1
1,14,3500,95,0
7,14,3500,48,0
2,12,3000,70,1
3,8,2000,50,0
4,11,2750,64,1
4,9,2250,52,0
4,16,4000,98,1
7,10,2500,47,0
4,14,3500,86,0
2,9,2250,75,0
4,9,2250,55,0
9,9,2250,38,0
11,11,2750,38,0
9,11,2750,49,1
5,11,2750,75,0
12,11,2750,39,0
4,11,2750,95,0
2,7,1750,77,0
2,7,1750,77,0
4,7,1750,62,0
9,9,2250,54,0
7,11,2750,89,0
8,9,2250,64,0
12,15,3750,71,0
11,16,4000,89,0
7,9,2250,89,1
11,8,2000,52,1
16,16,4000,77,0
14,8,2000,50,0
11,8,2000,72,0
16,15,3750,87,0
16,14,3500,83,0
16,10,2500,62,0
23,19,4750,62,0
11,7,1750,75,0
20,14,3500,69,1
13,7,1750,76,0
16,7,1750,64,0
16,6,1500,81,0
23,8,2000,69,0
23,7,1750,88,0
