,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,112,66,20.037830077751412,0.10164998393495706
2,Birch,K = 2,2,114,64,15.94049427061439,0.08539286375709675
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,114,64,15.94049427061439,0.08539286375709675
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,117,61,11.813000663281494,0.06337765388910396
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,177,1,2.8525244477831917,0.2791503265986829
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,177,1,1.9464115323842803,0.18779144797078895
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,151,27,8.776618099677773,0.088473133206447
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,176,2,4.744440436101591,0.2689702201258489
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,177,1,1.9464115323842803,0.18779144797078895
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,117,61,11.813000663281494,0.06337765388910396
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,177,1,2.8525244477831917,0.2791503265986829
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,177,1,1.9464115323842803,0.18779144797078895
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,151,27,8.776618099677773,0.088473133206447
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,176,2,4.744440436101591,0.2689702201258489
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,177,1,1.9464115323842803,0.18779144797078895
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,116,62,9.662974440883426,0.09162207286224598
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,91,87,13.822447628926751,0.07566654496796855
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,177,1,0.9140111314422216,-0.008687431096219018
