,algorithm,params,groups,memberG1,memberG2,calinski_harabaz_score,silhouette_score
1,K-Means,K = 2,2,74,54,21.392087490324695,0.1493509102998308
2,Birch,K = 2,2,95,33,17.170248292806455,0.0991272110714797
3,AgglomerativeClustering,affinity = euclidean linkage = ward k = 2,2,46,82,18.781875215213514,0.14710462581349854
4,AgglomerativeClustering,affinity = euclidean linkage = complete k = 2,2,112,16,9.560320826858383,0.13431309089782328
5,AgglomerativeClustering,affinity = euclidean linkage = average k = 2,2,127,1,1.8736807532807898,0.16437065105452386
6,AgglomerativeClustering,affinity = euclidean linkage = single k = 2,2,127,1,1.8736807532807898,0.16437065105452386
7,AgglomerativeClustering,affinity = l1 linkage = complete k = 2,2,92,36,13.575463260948105,0.11043497738890082
8,AgglomerativeClustering,affinity = l1 linkage = average k = 2,2,96,32,16.656284653888076,0.14321336220022135
9,AgglomerativeClustering,affinity = l1 linkage = single k = 2,2,126,2,2.6970926250785543,0.0996353866237975
10,AgglomerativeClustering,affinity = l2 linkage = complete k = 2,2,112,16,9.560320826858383,0.13431309089782328
11,AgglomerativeClustering,affinity = l2 linkage = average k = 2,2,127,1,1.8736807532807898,0.16437065105452386
12,AgglomerativeClustering,affinity = l2 linkage = single k = 2,2,127,1,1.8736807532807898,0.16437065105452386
13,AgglomerativeClustering,affinity = manhattan linkage = complete k = 2,2,92,36,13.575463260948105,0.11043497738890082
14,AgglomerativeClustering,affinity = manhattan linkage = average k = 2,2,96,32,16.656284653888076,0.14321336220022135
15,AgglomerativeClustering,affinity = manhattan linkage = single k = 2,2,126,2,2.6970926250785543,0.0996353866237975
16,AgglomerativeClustering,affinity = cosine linkage = complete k = 2,2,59,69,13.568817468758978,0.0949056652667184
17,AgglomerativeClustering,affinity = cosine linkage = average k = 2,2,72,56,19.60364139031787,0.12209789921948686
18,AgglomerativeClustering,affinity = cosine linkage = single k = 2,2,127,1,1.8736807532807898,0.16437065105452386
