tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab
2.95906002456,3.07988520423,8.38102539192,9.78075443223,3.76308477206,-0.782603630988,-1.25739482959,-1.72308631149,0.650456460887,0.859578105752,0.887444920639,0.958033987603,0.0553474891728
8.97170690932,8.84842842135,3.04647874899,1.21451813834,3.40515818001,-1.20745559234,-1.27721014673,-0.920492440935,0.163041039311,0.766688656527,0.839444015401,0.109853244952,0.00347087904839
3.13411155161,7.60877161603,4.94375930178,9.85757326997,3.52581081652,-1.12553095451,-1.84597485448,-0.554305007534,0.797109525792,0.455449947148,0.656946658474,0.820923486482,0.0498603734837
6.71016636762,3.76520418352,6.92931443867,8.81856192346,2.39741922938,-0.614589561908,-1.20882589139,-0.574003776078,0.177889561089,0.39797658012,0.402045952123,0.37663027918,0.00595357056847
6.95351155783,1.37912500229,5.7194000302,7.87030742603,3.2244951579,-0.748997751248,-1.18651692837,-1.28898047829,0.371384852592,0.633203555433,0.732740894287,0.380544478575,0.0166342974538
5.9301101176,6.73087337438,6.24513790054,0.533287512826,2.32709159289,-0.702501235021,-1.11691962966,-0.507670728205,0.239815632938,0.563109593653,0.164461028194,0.753701355881,-0.028411461268
1.61678683711,2.93922810703,0.819791186155,4.19180384911,3.75228191427,-1.48488454526,-1.28058145097,-0.98681591803,0.899698249388,0.866545796306,0.303920577803,0.0776101261113,-0.0486167008033
7.02136199991,4.37429363886,4.77590415835,8.83842594831,3.33585746132,-0.962391781187,-1.40762695274,-0.965838727388,0.711099508263,0.625363823867,0.468334969702,0.895143061006,0.0725083555585
8.67689455715,5.58332528932,4.92540189981,7.35621228967,2.82824733012,-1.39673198847,-0.929289557596,-0.50222578406,0.595003445441,0.983650729392,0.245571184843,0.454155494135,0.0624905100492
7.25334606802,7.73351662337,1.62109081051,7.89061038035,3.56724027389,-1.37785475735,-1.44953230231,-0.739853214236,0.93608746703,0.927722330653,0.824221605405,0.100471728226,0.0478606522167
6.19248143448,2.53387729804,1.6623797426,5.16392354485,3.46239208993,-1.35595374187,-1.43284564145,-0.673592706617,0.16827702581,0.408494818382,0.328541483094,0.25358583661,-0.0361195580798
0.727076790719,6.42555418628,6.26909394931,0.786910858371,2.91317886688,-1.18786613129,-0.68773453899,-1.0375781966,0.471442103223,0.0613288483821,0.221905026793,0.647616792817,-0.0463741659831
1.80781872293,7.02035577512,6.67692890277,5.16964822716,3.67228764291,-1.1884705892,-0.819163766618,-1.66465328709,0.127657732818,0.160127434033,0.171724010034,0.838403503615,-0.00863841232831
9.03414663642,1.0716349999,5.47834198798,9.41252491868,3.40513947604,-1.16325253806,-1.65395445267,-0.587932485315,0.253608875583,0.778670480134,0.287025561205,0.221631366997,-0.033244917639
4.47789615182,2.15958151831,3.57689689966,1.79584584374,2.95177225215,-1.5403692215,-0.882204831202,-0.529198199447,0.702599246083,0.397860502923,0.785096490948,0.643629575397,0.0331769811662
3.69909557555,7.88069031229,8.29124421474,2.37123788615,3.37418024731,-0.590451860592,-1.57917098012,-1.2045574066,0.275612627578,0.0821056082573,0.662142574094,0.0616653437584,-0.014002497943
9.8534618112,7.18102283165,1.68908375513,1.70549198673,2.38858397103,-0.676758056375,-0.510617968487,-1.20120794617,0.953620611837,0.657751775774,0.788264275069,0.0826596367877,0.0213854244017
7.21296752386,3.81571985705,8.86620798197,6.51775706955,2.79640021715,-1.65246484248,-0.547151333977,-0.596784040692,0.417993053623,0.0585230182504,0.578285993987,0.31443409951,0.0220062433916
2.48220278424,2.98440346965,4.93378545428,1.89181260751,2.62180388675,-0.910373043328,-0.847904196972,-0.863526646451,0.316414039653,0.598836013407,0.26395303349,0.888316118461,-0.0193477374267
4.8619032997,6.14534512135,8.81162194488,9.24212875448,3.00518202623,-1.58959435002,-0.814255047076,-0.601332629133,0.223498148677,0.148033724529,0.68791592889,0.903221919939,0.0528775753011
4.04407080759,8.73796761026,0.8965892308,8.46201457502,3.54305483904,-1.65227421511,-0.583774460009,-1.30700616392,0.777571676259,0.452660468496,0.53756751144,0.755847944095,0.0219242217871
